IBOV,,,PETR4,,,VALE3,,,DOLAR,
Date,Close,,Date,Close,,Date,Close,,Date,Close
39373.70556,63193,,39337.70556,27.2,,36945.70556,1.05,,39184.99861,2.034
39374.70556,63261,,39338.70556,27.27,,36950.70556,1.02,,39185.99861,2.0165
39378.70556,61215,,39339.70556,27.63,,36951.70556,1.04,,39188.99861,2.028
39379.70556,62697,,39344.70556,28.36,,36952.70556,1.05,,39189.99861,2.0287
39380.70556,62624,,39345.70556,28.33,,36955.70556,1.04,,39190.99861,2.0335
39381.70556,62341,,39346.70556,28.59,,36956.70556,1.04,,39191.99861,2.0281
39385.70556,65044,,39349.70556,29.96,,36957.70556,1.05,,39192.99861,2.0221
39386.70556,64383,,39351.70556,29.66,,36958.70556,0.98,,39195.99861,2.0193
39387.70556,65317,,39352.70556,29.77,,36959.70556,1,,39196.99861,2.0329
39388.70556,64050,,39353.70556,30.13,,36962.70556,0.99,,39197.99861,2.0186
39392.70556,62959,,39358.70556,30.3,,36963.70556,1,,39198.99861,2.0181
39394.70556,63561,,39359.70556,29.42,,36964.70556,1,,39199.99861,2.0275
39395.70556,64320,,39360.70556,29.6,,36965.70556,1,,39202.99861,2.0279
39402.70556,64609,,39364.70556,30.99,,36966.70556,1,,39203.99861,2.0279
39405.70556,62336,,39365.70556,31.45,,36969.70556,0.98,,39204.99861,2.0212
39407.70556,60581,,39366.70556,32.55,,36970.70556,1.02,,39205.99861,2.0184
39408.70556,60653,,39367.70556,32.37,,36971.70556,1.02,,39206.99861,2.0253
39409.70556,60970,,39371.70556,33.54,,36972.70556,1,,39209.99861,2.0201
39416.70556,63006,,39373.70556,33.9,,36973.70556,1,,39210.99861,2.0216
39420.70556,63199,,39374.70556,33.43,,36976.70556,1.02,,39211.99861,2.0187
39423.70556,65790,,39378.70556,31.44,,36977.70556,1.02,,39212.99861,2.0143
39427.70556,64512,,39379.70556,32.06,,36978.70556,1.02,,39213.99861,2.0138
39428.70556,64741,,39380.70556,33.51,,36979.70556,1.03,,39216.99861,2.0065
39429.70556,62860,,39381.70556,34.1,,36980.70556,1.03,,39217.99861,1.985
39430.70556,62444,,39385.70556,36.35,,36983.70556,1.01,,39218.99861,1.9606
39433.70556,59828,,39386.70556,35.05,,36984.70556,0.97,,39219.99861,1.9606
39435.70556,61721,,39387.70556,35.98,,36985.70556,0.98,,39220.99861,1.9601
39436.70556,61716,,39388.70556,35.73,,36986.70556,1.01,,39223.99861,1.94
39443.70556,63774,,39392.70556,34.38,,36987.70556,1,,39224.99861,1.9351
39450.70556,62891,,39394.70556,40.9,,36990.70556,1,,39225.99861,1.9383
39451.70556,61036,,39395.70556,40.01,,36991.70556,1,,39226.99861,1.9619
39454.70556,60772,,39402.70556,39.4,,36992.70556,1,,39227.99861,1.9425
39456.70556,62673,,39405.70556,38.65,,36993.70556,1,,39230.99861,1.9425
39457.70556,63515,,39407.70556,37.63,,36997.70556,1,,39231.99861,1.9453
39458.70556,61942,,39408.70556,37.83,,36998.70556,1.01,,39232.99861,1.945
39461.70556,62187,,39409.70556,38.2,,36999.70556,1,,39233.99861,1.9191
39462.70556,59907,,39416.70556,36.35,,37000.70556,1,,39234.99861,1.9002
39463.70556,58777,,39420.70556,36.87,,37001.70556,1,,39237.99861,1.9368
39464.70556,57036,,39423.70556,40.16,,37004.70556,1.01,,39238.99861,1.9368
39465.70556,57506,,39427.70556,39.69,,37005.70556,1.01,,39239.99861,1.9659
39468.70556,53709,,39428.70556,42.5,,37006.70556,1.01,,39240.99861,1.9637
39469.70556,56097,,39429.70556,41.35,,37007.70556,1.01,,39241.99861,1.9632
39470.70556,54234,,39430.70556,40.53,,37008.70556,1.01,,39244.99861,1.9395
39471.70556,57463,,39433.70556,38.42,,37011.70556,1.01,,39245.99861,1.9362
39475.70556,58593,,39435.70556,40.34,,37014.70556,1.01,,39246.99861,1.9448
39476.70556,59529,,39436.70556,42.02,,37015.70556,1.02,,39247.99861,1.9276
39477.70556,60289,,39443.70556,43.17,,37018.70556,1.02,,39248.99861,1.907
39478.70556,59490,,39450.70556,42.8,,37019.70556,1,,39251.99861,1.8998
